code;symbol;name;descr
EUR;€;Euro;European Euro;
USD;$;US Dollar;United States Dollar
CAD;$;Canadian Dollar;Canadian Dollar;2
AUD;$;Australian Dollar;Australian Dollar;2
GBP;£;Pound;Great Britian Pound;2
ILS;₪;Shekel;Israeli New Shekel;2
JPY;¥;Yen;Japanese Yen;0
